Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Princeton,Ivy,10,1,0.909,,,,,,75.4,65.7,,19.97,10.33,,,25.0,,,
2,Dartmouth,Ivy,7,2,0.778,,,,,,55.9,54.4,,-10.25,-11.75,,,,,,
3,Pennsylvania,Ivy,7,3,0.7,,,,,,59.9,57.5,,1.96,-0.41,,,,,,
4,Brown,Ivy,7,4,0.636,,,,,,62.1,56.5,,-2.61,-8.15,,,,,,
5,Columbia,Ivy,7,4,0.636,,,,,,73.5,65.5,,14.3,6.3,,,,,,
6,Harvard,Ivy,6,5,0.545,,,,,,64.7,60.9,,12.15,8.33,,,,,,
7,Cornell,Ivy,4,7,0.364,,,,,,51.5,59.5,,-20.36,-12.45,,,,,,
8,Yale,Ivy,4,7,0.364,,,,,,59.3,67.1,,-16.49,-8.67,,,,,,
