Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Syracuse,ACC,8,1,0.889,,1.0,0.0,1.0,,72.2,57.4,,18.53,3.75,,,,,,
2,Notre Dame,ACC,6,2,0.75,,1.0,0.0,1.0,,81.5,62.3,,29.32,10.07,,15.0,15.0,,,
3,Louisville,ACC,8,3,0.727,,1.0,0.0,1.0,,82.0,57.3,,33.0,8.27,,20.0,20.0,,,
4,Virginia,ACC,7,3,0.7,,1.0,0.0,1.0,,78.5,55.9,,21.19,-1.41,,,,,,
5,Duke,ACC,4,6,0.4,,1.0,0.0,1.0,,69.0,65.6,,25.02,21.62,,7.0,7.0,,,
6,North Carolina,ACC,9,2,0.818,,,,,,79.6,56.9,,31.65,8.92,,11.0,11.0,,,
7,Wake Forest,ACC,9,2,0.818,,,,,,68.6,53.8,,3.69,-11.13,,,,,,
8,Stanford,ACC,8,2,0.8,,,,,,72.9,53.2,,21.72,2.02,,,,,,
9,California,ACC,7,3,0.7,,,,,,68.6,58.0,,15.71,5.11,,,,,,
10,Miami (FL),ACC,6,3,0.667,,,,,,75.2,59.1,,22.73,6.62,,,,,,
11,NC State,ACC,6,4,0.6,,,,,,75.5,66.7,,24.0,15.2,,9.0,9.0,,,
12,Pittsburgh,ACC,6,5,0.545,,,,,,61.1,59.9,,-9.21,-10.41,,,,,,
13,Georgia Tech,ACC,4,6,0.4,,,,,,68.7,63.0,,7.18,1.48,,,,,,
14,Virginia Tech,ACC,7,3,0.7,,0.0,1.0,0.0,,73.2,59.0,,15.21,1.01,,,,,,
15,Clemson,ACC,6,4,0.6,,0.0,1.0,0.0,,66.0,56.2,,14.76,4.96,,,,,,
16,Southern Methodist,ACC,4,6,0.4,,0.0,1.0,0.0,,69.6,68.3,,5.07,3.77,,,,,,
17,Florida State,ACC,4,7,0.364,,0.0,1.0,0.0,,76.7,80.2,,9.83,13.29,,,,,,
18,Boston College,ACC,4,8,0.333,,0.0,1.0,0.0,,66.9,68.4,,-1.59,-0.09,,,,,,
