Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Duke,ACC,24,8,0.75,,16,2,0.889,,74.1,58.9,,34.09,18.87,,7.0,7.0,,,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Louisville,ACC,27,7,0.794,,15,3,0.833,,79.9,60.8,,33.53,14.35,,20.0,6.0,,,NCAA Tournament
3,North Carolina,ACC,26,7,0.788,,14,4,0.778,,75.4,59.0,,29.07,12.61,,11.0,11.0,,,NCAA Tournament
4,NC State,ACC,20,10,0.667,,13,5,0.722,,77.2,66.5,,26.45,15.72,,9.0,9.0,,,NCAA Tournament
5,Syracuse,ACC,23,8,0.742,,12,6,0.667,,74.5,63.4,,20.55,9.49,,,,,,NCAA Tournament
6,Virginia Tech,ACC,23,9,0.719,,12,6,0.667,,72.9,61.3,,20.55,8.96,,,,,,NCAA Tournament
7,Notre Dame,ACC,22,10,0.688,,12,6,0.667,,77.9,64.9,,27.81,14.81,,15.0,15.0,,,NCAA Tournament
8,Clemson,ACC,21,11,0.656,,11,7,0.611,,67.7,58.7,,18.78,9.78,,,,,,NCAA Tournament
9,Virginia,ACC,19,11,0.633,,11,7,0.611,,75.3,64.3,,20.7,9.73,,,,,,NCAA Tournament
10,California,ACC,19,14,0.576,,9,9,0.5,,69.3,63.0,,18.2,11.9,,,,,,
11,Stanford,ACC,19,13,0.594,,8,10,0.444,,70.2,62.3,,19.61,11.68,,,,,,
12,Miami (FL),ACC,17,14,0.548,,8,10,0.444,,70.3,65.7,,16.88,12.24,,,,,,
13,Georgia Tech,ACC,14,18,0.438,,8,10,0.444,,65.8,65.8,,12.65,12.65,,,,,,
14,Florida State,ACC,10,21,0.323,,5,13,0.278,,71.5,77.1,,8.8,14.35,,,,,,
15,Wake Forest,ACC,14,17,0.452,,4,14,0.222,,65.7,66.6,,5.53,6.37,,,,,,
16,Southern Methodist,ACC,9,21,0.3,,2,16,0.111,,61.8,74.7,,-2.99,9.91,,,,,,
17,Pittsburgh,ACC,8,23,0.258,,1,17,0.056,,60.5,73.1,,-7.03,5.6,,,,,,
18,Boston College,ACC,5,26,0.161,,1,17,0.056,,64.1,76.8,,-3.41,9.33,,,,,,
