Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Lehigh,Patriot,7,7,0.5,,3,0,1.0,,66.5,69.9,,-4.08,-0.65,,,,,,
2,Army,Patriot,11,3,0.786,,2,1,0.667,,68.1,58.8,,1.58,-7.66,,,,,,
3,Holy Cross,Patriot,8,6,0.571,,2,1,0.667,,59.2,61.3,,-3.27,-1.2,,,,,,
4,Navy,Patriot,8,6,0.571,,2,1,0.667,,68.3,66.0,,-2.92,-5.23,,,,,,
5,Lafayette,Patriot,6,8,0.429,,2,1,0.667,,62.8,63.9,,-13.71,-12.64,,,,,,
6,American,Patriot,4,10,0.286,,2,1,0.667,,55.9,65.0,,-17.15,-8.0,,,,,,
7,Colgate,Patriot,5,9,0.357,,1,2,0.333,,55.5,69.9,,-17.59,-3.2,,,,,,
8,Loyola (MD),Patriot,5,9,0.357,,1,2,0.333,,56.6,63.9,,-11.83,-4.55,,,,,,
9,Boston University,Patriot,4,10,0.286,,0,3,0.0,,53.5,62.5,,-15.29,-6.29,,,,,,
10,Bucknell,Patriot,4,10,0.286,,0,3,0.0,,51.7,62.8,,-14.79,-3.72,,,,,,
