Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,High Point,Big South,18,2,0.9,,7,0,1.0,,74.3,59.8,,3.74,-10.76,,,,,,
2,Longwood,Big South,14,6,0.7,,5,2,0.714,,72.2,69.1,,-3.3,-6.48,,,,,,
3,Radford,Big South,13,9,0.591,,5,2,0.714,,62.3,63.0,,-8.95,-8.25,,,,,,
4,Charleston Southern,Big South,6,14,0.3,,4,3,0.571,,58.6,72.6,,-18.42,-4.37,,,,,,
5,Winthrop,Big South,10,11,0.476,,3,4,0.429,,61.8,73.9,,-16.56,-4.51,,,,,,
6,Gardner-Webb,Big South,6,15,0.286,,3,4,0.429,,53.8,63.7,,-20.59,-10.64,,,,,,
7,UNC Asheville,Big South,8,13,0.381,,3,5,0.375,,56.9,64.1,,-20.33,-13.11,,,,,,
8,South Carolina Upstate,Big South,6,15,0.286,,1,6,0.143,,52.3,67.2,,-22.7,-7.76,,,,,,
9,Presbyterian,Big South,3,17,0.15,,1,6,0.143,,48.9,74.2,,-32.69,-7.42,,,,,,
