Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Princeton,Ivy,26,3,0.897,,12,2,0.857,,72.5,60.0,,16.11,3.59,,,19.0,,,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Columbia,Ivy,20,8,0.714,,11,3,0.786,,70.9,59.7,,13.15,1.94,,,,,,
3,Harvard,Ivy,18,11,0.621,,10,4,0.714,,65.3,57.3,,10.94,3.01,,,,,,
4,Brown,Ivy,16,11,0.593,,8,6,0.571,,60.8,58.0,,0.17,-2.56,,,,,,
5,Pennsylvania,Ivy,17,10,0.63,,7,7,0.5,,62.4,59.5,,2.39,-0.53,,,,,,
6,Cornell,Ivy,9,18,0.333,,4,10,0.286,,52.4,63.1,,-14.02,-3.33,,,,,,
7,Yale,Ivy,7,20,0.259,,3,11,0.214,,58.0,67.7,,-11.99,-2.32,,,,,,
8,Dartmouth,Ivy,10,17,0.37,,1,13,0.071,,51.7,66.8,,-18.28,-3.24,,,,,,
