Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,San Diego State,MWC,27,5,0.844,,19,1,0.95,,69.1,60.1,,10.34,1.34,,,,,,Reg. Season Champion
2,Colorado State,MWC,27,8,0.771,,15,5,0.75,,65.8,55.5,,10.84,0.61,,,,,,NCAA Tournament; Conf. Tournament Champion
3,Nevada-Las Vegas,MWC,21,11,0.656,,15,5,0.75,,68.7,62.8,,8.53,2.69,,,,,,
4,Boise State,MWC,25,9,0.735,,14,6,0.7,,70.0,64.3,,4.04,-1.69,,,,,,
5,New Mexico,MWC,22,10,0.688,,14,6,0.7,,67.4,60.7,,5.09,-1.57,,,,,,
6,Grand Canyon,MWC,13,19,0.406,,11,9,0.55,,64.8,64.7,,3.83,3.71,,,,,,
7,Fresno State,MWC,15,18,0.455,,8,12,0.4,,62.2,61.4,,-0.26,-0.98,,,,,,
8,Air Force,MWC,16,19,0.457,,7,13,0.35,,60.1,63.3,,-4.02,-0.82,,,,,,
9,Wyoming,MWC,10,20,0.333,,7,13,0.35,,54.7,62.4,,-6.11,1.65,,,,,,
10,Nevada,MWC,10,21,0.323,,6,14,0.3,,57.0,62.2,,-5.11,0.12,,,,,,
11,Utah State,MWC,6,24,0.2,,2,18,0.1,,57.7,69.4,,-11.07,0.62,,,,,,
12,San Jose State,MWC,4,28,0.125,,2,18,0.1,,54.9,73.0,,-15.88,2.22,,,,,,
