Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Loyola Marymount,WCC,21,9,0.7,,15,3,0.833,,70.6,64.1,,5.11,-1.34,,,,,,Reg. Season Champion
2,Gonzaga,WCC,24,9,0.727,,14,4,0.778,,74.4,64.5,,13.57,3.69,,,,,,
3,Santa Clara,WCC,24,9,0.727,,13,5,0.722,,78.3,69.9,,9.65,1.23,,,,,,
4,Oregon State,WCC,23,11,0.676,,13,5,0.722,,66.7,61.8,,9.39,4.49,,,,,,
5,Portland,WCC,18,14,0.563,,11,7,0.611,,66.9,65.4,,3.79,2.22,,,,,,
6,Pepperdine,WCC,19,12,0.613,,10,8,0.556,,70.1,66.7,,3.43,-0.06,,,,,,
7,San Francisco,WCC,18,14,0.563,,9,9,0.5,,67.5,68.8,,0.07,1.42,,,,,,
8,Saint Mary's (CA),WCC,15,17,0.469,,6,12,0.333,,59.1,60.4,,-0.36,0.94,,,,,,
9,Pacific,WCC,11,19,0.367,,6,12,0.333,,63.9,69.4,,-2.69,2.86,,,,,,
10,Washington State,WCC,9,25,0.265,,6,12,0.333,,63.6,73.2,,-4.05,5.6,,,,,,
11,San Diego,WCC,11,22,0.333,,4,14,0.222,,56.4,65.1,,-8.46,0.29,,,,,,
12,Seattle,WCC,5,25,0.167,,1,17,0.056,,58.6,78.0,,-20.05,-0.62,,,,,,
