Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Southern,SWAC,8,8,0.5,,4,1,0.8,,56.9,67.3,,-4.85,5.51,,,,,,
2,Alabama A&M,SWAC,8,9,0.471,,4,1,0.8,,56.9,64.1,,-7.21,0.01,,,,,,
3,Alcorn State,SWAC,7,9,0.438,,4,1,0.8,,47.8,65.8,,-14.9,3.18,,,,,,
4,Texas Southern,SWAC,8,10,0.444,,4,2,0.667,,58.1,77.7,,-18.41,1.23,,,,,,
5,Florida A&M,SWAC,4,12,0.25,,3,2,0.6,,56.5,74.4,,-24.43,-6.56,,,,,,
6,Arkansas-Pine Bluff,SWAC,6,10,0.375,,3,3,0.5,,54.2,71.4,,-23.06,-5.86,,,,,,
7,Mississippi Valley State,SWAC,4,13,0.235,,3,3,0.5,,57.2,85.3,,-31.28,-3.22,,,,,,
8,Alabama State,SWAC,5,11,0.313,,2,3,0.4,,51.2,72.6,,-17.98,3.41,,,,,,
9,Grambling,SWAC,5,13,0.278,,2,3,0.4,,56.9,72.6,,-19.3,-3.56,,,,,,
10,Jackson State,SWAC,4,13,0.235,,2,3,0.4,,56.6,69.3,,-13.04,-0.35,,,,,,
11,Bethune-Cookman,SWAC,3,15,0.167,,1,4,0.2,,52.1,74.0,,-26.54,-4.61,,,,,,
12,Prairie View,SWAC,2,15,0.118,,0,6,0.0,,53.3,79.9,,-28.69,-2.02,,,,,,
