Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Howard,MEAC,26,7,0.788,,13,1,0.929,,66.9,59.9,,-1.71,-8.71,,,,,,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Maryland-Eastern Shore,MEAC,19,14,0.576,,11,3,0.786,,60.4,63.0,,-9.65,-6.97,,,,,,
3,Norfolk State,MEAC,18,14,0.563,,11,3,0.786,,60.4,59.4,,-5.36,-6.32,,,,,,
4,Coppin State,MEAC,10,23,0.303,,6,8,0.429,,57.0,68.3,,-13.42,-2.17,,,,,,
5,North Carolina Central,MEAC,9,20,0.31,,5,9,0.357,,59.0,70.2,,-18.01,-6.82,,,,,,
6,Delaware State,MEAC,7,23,0.233,,4,10,0.286,,53.1,65.9,,-21.36,-8.59,,,,,,
7,Morgan State,MEAC,5,26,0.161,,3,10,0.231,,53.4,72.2,,-22.94,-4.08,,,,,,
8,South Carolina State,MEAC,5,25,0.167,,2,11,0.154,,50.2,72.7,,-31.53,-9.06,,,,,,
