Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Louisville,ACC,12,3,0.8,,2,0,1.0,,82.4,58.3,,34.38,10.24,,20.0,16.0,,,
2,NC State,ACC,9,4,0.692,,2,0,1.0,,76.7,65.0,,27.6,15.9,,9.0,9.0,,,
3,Syracuse,ACC,11,1,0.917,,1,0,1.0,,76.3,54.4,,20.12,-1.79,,,,,,
4,Stanford,ACC,11,2,0.846,,1,0,1.0,,72.2,55.1,,23.96,6.89,,,,,,
5,Notre Dame,ACC,9,2,0.818,,1,0,1.0,,85.2,59.0,,32.58,6.4,,15.0,15.0,,,
6,Virginia,ACC,9,3,0.75,,1,0,1.0,,79.1,55.2,,22.17,-1.75,,,,,,
7,Duke,ACC,6,6,0.5,,1,0,1.0,,71.9,63.0,,29.26,20.34,,7.0,7.0,,,
8,Virginia Tech,ACC,11,3,0.786,,1,1,0.5,,75.4,55.9,,17.43,-2.07,,,,,,
9,Wake Forest,ACC,11,3,0.786,,1,1,0.5,,67.9,55.6,,4.13,-8.23,,,,,,
10,Clemson,ACC,9,4,0.692,,1,1,0.5,,68.8,55.2,,14.46,0.77,,,,,,
11,Miami (FL),ACC,8,4,0.667,,1,1,0.5,,73.9,61.3,,19.56,6.89,,,,,,
12,Florida State,ACC,5,9,0.357,,0,2,0.0,,75.5,76.9,,9.17,10.6,,,,,,
13,Georgia Tech,ACC,4,9,0.308,,0,2,0.0,,65.5,65.8,,4.8,5.19,,,,,,
14,North Carolina,ACC,11,3,0.786,,0,1,0.0,,79.9,57.9,,28.52,6.45,,11.0,11.0,,,
15,California,ACC,8,5,0.615,,0,1,0.0,,67.7,60.0,,15.3,7.61,,,,,,
16,Southern Methodist,ACC,7,6,0.538,,0,1,0.0,,69.2,66.4,,5.15,2.3,,,,,,
17,Pittsburgh,ACC,7,7,0.5,,0,1,0.0,,63.0,61.7,,-7.98,-9.29,,,,,,
18,Boston College,ACC,4,10,0.286,,0,1,0.0,,67.2,69.6,,-3.62,-1.26,,,,,,
