Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Maryland-Eastern Shore,MEAC,11,10,0.524,,4,0,1.0,,60.8,68.5,,-8.72,-1.09,,,,,,
2,Howard,MEAC,12,7,0.632,,2,1,0.667,,64.5,63.2,,-1.47,-2.84,,,,,,
3,Norfolk State,MEAC,7,11,0.389,,2,1,0.667,,52.8,66.9,,-11.22,2.93,,,,,,
4,South Carolina State,MEAC,5,13,0.278,,2,1,0.667,,52.6,70.8,,-24.81,-6.62,,,,,,
5,Coppin State,MEAC,4,15,0.211,,2,2,0.5,,54.0,71.5,,-14.58,2.92,,,,,,
6,Morgan State,MEAC,2,17,0.105,,1,2,0.333,,50.2,75.8,,-23.72,1.93,,,,,,
7,North Carolina Central,MEAC,3,13,0.188,,0,3,0.0,,57.4,76.7,,-19.83,-0.56,,,,,,
8,Delaware State,MEAC,3,15,0.167,,0,3,0.0,,49.7,70.1,,-23.19,-2.72,,,,,,
