id,date,Team,Opponent,Location,Game Result,Team Score,Opponent Score,Team Logo,Opponent Logo,Team Rank,Opponent Rank,Team Conf ID,Opponent Conf ID,Overall Record,Conf Record,is_conf_game,type_id,notes_headline,status_type_name,home_conference_id,home_winner,home_current_rank,home_records,away_conference_id,away_winner,away_current_rank,away_records,groups_id,groups_short_name,Team Abbreviation,Opponent Abbreviation,Team Color,Opponent Color,Team Alt Color,Opponent Alt Color,home_abbreviation,home_color,home_alternate_color,away_abbreviation,away_color,away_alternate_color,game_json_url,game_date,PBP,team_box,player_box
401856590,2026-04-05T19:30Z,South Carolina,UCLA,Neutral,L,51,79,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,1,1,23,7,,,False,6,NCAA Women's Basketball Championship - National Championship,STATUS_FINAL,7,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '37-1', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '16-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '9-0', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '18-0', 'type': 'vsconf'}]",23,False,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '36-4', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '18-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '11-1', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-1', 'type': 'vsconf'}]",,,SC,UCLA,73000a,2774ae,000000,f2a900,UCLA,2774ae,f2a900,SC,73000a,000000,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856590.json,2026-04-05T19:30Z,True,,
401856590,2026-04-05T19:30Z,UCLA,South Carolina,Neutral,W,79,51,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,1,1,7,23,,,False,6,NCAA Women's Basketball Championship - National Championship,STATUS_FINAL,7,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '37-1', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '16-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '9-0', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '18-0', 'type': 'vsconf'}]",23,False,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '36-4', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '18-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '11-1', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-1', 'type': 'vsconf'}]",,,UCLA,SC,2774ae,73000a,f2a900,000000,UCLA,2774ae,f2a900,SC,73000a,000000,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856590.json,2026-04-05T19:30Z,True,,
401856589,2026-04-04T01:40Z,UCLA,Texas,Neutral,W,51,44,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,1,1,7,23,,,False,6,NCAA Women's Basketball Championship - Final Four,STATUS_FINAL,7,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '36-1', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '16-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '9-0', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '18-0', 'type': 'vsconf'}]",23,False,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '35-4', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '20-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '7-3', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '13-3', 'type': 'vsconf'}]",,,UCLA,TEX,2774ae,af5c37,f2a900,ffffff,UCLA,2774ae,f2a900,TEX,af5c37,ffffff,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856589.json,2026-04-04T01:40Z,True,,
401856589,2026-04-04T01:40Z,Texas,UCLA,Neutral,L,44,51,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,1,1,23,7,,,False,6,NCAA Women's Basketball Championship - Final Four,STATUS_FINAL,7,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '36-1', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '16-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '9-0', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '18-0', 'type': 'vsconf'}]",23,False,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '35-4', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '20-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '7-3', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '13-3', 'type': 'vsconf'}]",,,TEX,UCLA,af5c37,2774ae,ffffff,f2a900,UCLA,2774ae,f2a900,TEX,af5c37,ffffff,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856589.json,2026-04-04T01:40Z,True,,
401856588,2026-04-03T23:00Z,South Carolina,UConn,Neutral,W,62,48,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,1,1,23,4,,,False,6,NCAA Women's Basketball Championship - Final Four,STATUS_FINAL,4,False,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '38-1', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '17-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '12-0', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '20-0', 'type': 'vsconf'}]",23,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '36-3', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '18-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '11-1', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-1', 'type': 'vsconf'}]",,,SC,CONN,73000a,0c2340,000000,a2aaad,CONN,0c2340,a2aaad,SC,73000a,000000,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856588.json,2026-04-03T23:00Z,True,,
401856588,2026-04-03T23:00Z,UConn,South Carolina,Neutral,L,48,62,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,1,1,4,23,,,False,6,NCAA Women's Basketball Championship - Final Four,STATUS_FINAL,4,False,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '38-1', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '17-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '12-0', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '20-0', 'type': 'vsconf'}]",23,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '36-3', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '18-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '11-1', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-1', 'type': 'vsconf'}]",,,CONN,SC,0c2340,73000a,a2aaad,000000,CONN,0c2340,a2aaad,SC,73000a,000000,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856588.json,2026-04-03T23:00Z,True,,
401858323,2026-04-01T23:00Z,Columbia,BYU,Neutral,W,81,64,https://a.espncdn.com/i/teamlogos/ncaa/500/171.png,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,99,99,12,8,,,False,6,WBIT Championship Game,STATUS_FINAL,8,False,99,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '26-12', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '16-4', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '6-5', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '9-9', 'type': 'vsconf'}]",12,True,99,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '25-8', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '9-4', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '13-1', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '11-3', 'type': 'vsconf'}]",,,COLU,BYU,7ba4db,0047ba,183863,002e5d,BYU,0047ba,002e5d,COLU,7ba4db,183863,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401858323.json,2026-04-01T23:00Z,True,,
401856587,2026-03-31T01:20Z,South Carolina,TCU,Neutral,W,78,52,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,1,3,23,8,,,False,6,NCAA Women's Basketball Championship - Regional 4 in Sacramento - Elite 8,STATUS_FINAL,23,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '35-3', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '18-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '11-1', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-1', 'type': 'vsconf'}]",8,False,3,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '32-6', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '20-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '7-3', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-3', 'type': 'vsconf'}]",,,SC,TCU,73000a,4d1979,000000,ffffff,SC,73000a,000000,TCU,4d1979,ffffff,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856587.json,2026-03-31T01:20Z,True,,
401856587,2026-03-31T01:20Z,TCU,South Carolina,Neutral,L,52,78,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,3,1,8,23,,,False,6,NCAA Women's Basketball Championship - Regional 4 in Sacramento - Elite 8,STATUS_FINAL,23,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '35-3', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '18-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '11-1', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-1', 'type': 'vsconf'}]",8,False,3,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '32-6', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '20-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '7-3', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-3', 'type': 'vsconf'}]",,,TCU,SC,4d1979,73000a,ffffff,000000,SC,73000a,000000,TCU,4d1979,ffffff,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856587.json,2026-03-31T01:20Z,True,,
401856586,2026-03-30T23:00Z,Michigan,Texas,Neutral,L,41,77,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,2,1,7,23,,,False,6,NCAA Women's Basketball Championship - Regional 3 in Fort Worth - Elite 8,STATUS_FINAL,23,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '35-3', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '20-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '7-3', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '13-3', 'type': 'vsconf'}]",7,False,2,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '28-7', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '16-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '8-2', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-3', 'type': 'vsconf'}]",,,MICH,TEX,00274c,af5c37,ffcb05,ffffff,TEX,af5c37,ffffff,MICH,00274c,ffcb05,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856586.json,2026-03-30T23:00Z,True,,
401856586,2026-03-30T23:00Z,Texas,Michigan,Neutral,W,77,41,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,1,2,23,7,,,False,6,NCAA Women's Basketball Championship - Regional 3 in Fort Worth - Elite 8,STATUS_FINAL,23,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '35-3', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '20-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '7-3', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '13-3', 'type': 'vsconf'}]",7,False,2,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '28-7', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '16-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '8-2', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-3', 'type': 'vsconf'}]",,,TEX,MICH,af5c37,00274c,ffffff,ffcb05,TEX,af5c37,ffffff,MICH,00274c,ffcb05,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856586.json,2026-03-30T23:00Z,True,,
401858321,2026-03-30T21:00Z,Kansas,BYU,Neutral,L,67,70,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,99,99,8,8,,,False,6,WBIT - Semifinal,STATUS_FINAL,8,True,99,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '26-11', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '16-4', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '6-5', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '9-9', 'type': 'vsconf'}]",8,False,99,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '22-14', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '15-4', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '5-6', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '8-10', 'type': 'vsconf'}]",,,KU,BYU,0051ba,0047ba,e8000d,002e5d,BYU,0047ba,002e5d,KU,0051ba,e8000d,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401858321.json,2026-03-30T21:00Z,True,,
401858322,2026-03-30T18:30Z,Columbia,Wisconsin,Neutral,W,67,50,https://a.espncdn.com/i/teamlogos/ncaa/500/171.png,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,99,99,12,7,,,False,6,WBIT - Semifinal,STATUS_FINAL,7,False,99,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '16-18', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '12-5', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '3-9', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '5-13', 'type': 'vsconf'}]",12,True,99,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '24-8', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '9-4', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '13-1', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '11-3', 'type': 'vsconf'}]",,,COLU,WIS,7ba4db,a00000,183863,ffffff,WIS,a00000,ffffff,COLU,7ba4db,183863,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401858322.json,2026-03-30T18:30Z,True,,
401856585,2026-03-29T19:00Z,UCLA,Duke,Neutral,W,70,58,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,1,3,7,2,,,False,6,NCAA Women's Basketball Championship - Regional 2 in Sacramento - Elite 8,STATUS_FINAL,7,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '35-1', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '16-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '9-0', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '18-0', 'type': 'vsconf'}]",2,False,3,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '27-9', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '14-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '9-3', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '16-2', 'type': 'vsconf'}]",,,UCLA,DUKE,2774ae,00539b,f2a900,ffffff,UCLA,2774ae,f2a900,DUKE,00539b,ffffff,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856585.json,2026-03-29T19:00Z,True,,
401856585,2026-03-29T19:00Z,Duke,UCLA,Neutral,L,58,70,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,3,1,2,7,,,False,6,NCAA Women's Basketball Championship - Regional 2 in Sacramento - Elite 8,STATUS_FINAL,7,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '35-1', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '16-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '9-0', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '18-0', 'type': 'vsconf'}]",2,False,3,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '27-9', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '14-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '9-3', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '16-2', 'type': 'vsconf'}]",,,DUKE,UCLA,00539b,2774ae,ffffff,f2a900,UCLA,2774ae,f2a900,DUKE,00539b,ffffff,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856585.json,2026-03-29T19:00Z,True,,
401856584,2026-03-29T17:00Z,UConn,Notre Dame,Neutral,W,70,52,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,1,6,4,2,,,False,6,NCAA Women's Basketball Championship - Regional 1 in Fort Worth - Elite 8,STATUS_FINAL,4,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '38-0', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '17-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '12-0', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '20-0', 'type': 'vsconf'}]",2,False,6,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '25-11', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '14-2', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '7-6', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '12-6', 'type': 'vsconf'}]",,,CONN,ND,0c2340,062340,a2aaad,c99700,CONN,0c2340,a2aaad,ND,062340,c99700,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856584.json,2026-03-29T17:00Z,True,,
401856584,2026-03-29T17:00Z,Notre Dame,UConn,Neutral,L,52,70,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,6,1,2,4,,,False,6,NCAA Women's Basketball Championship - Regional 1 in Fort Worth - Elite 8,STATUS_FINAL,4,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '38-0', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '17-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '12-0', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '20-0', 'type': 'vsconf'}]",2,False,6,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '25-11', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '14-2', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '7-6', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '12-6', 'type': 'vsconf'}]",,,ND,CONN,062340,0c2340,c99700,a2aaad,CONN,0c2340,a2aaad,ND,062340,c99700,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856584.json,2026-03-29T17:00Z,True,,
401856582,2026-03-28T23:30Z,TCU,Virginia,Neutral,W,79,69,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,3,10,8,2,,,False,6,NCAA Women's Basketball Championship - Regional 4 in Sacramento - Sweet 16,STATUS_FINAL,8,True,3,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '32-5', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '20-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '7-3', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-3', 'type': 'vsconf'}]",2,False,10,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '22-12', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '12-5', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '7-4', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '11-7', 'type': 'vsconf'}]",,,TCU,UVA,4d1979,f84c1e,ffffff,232d4b,TCU,4d1979,ffffff,UVA,f84c1e,232d4b,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856582.json,2026-03-28T23:30Z,True,,
401856582,2026-03-28T23:30Z,Virginia,TCU,Neutral,L,69,79,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,10,3,2,8,,,False,6,NCAA Women's Basketball Championship - Regional 4 in Sacramento - Sweet 16,STATUS_FINAL,8,True,3,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '32-5', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '20-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '7-3', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-3', 'type': 'vsconf'}]",2,False,10,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '22-12', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '12-5', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '7-4', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '11-7', 'type': 'vsconf'}]",,,UVA,TCU,f84c1e,4d1979,232d4b,ffffff,TCU,4d1979,ffffff,UVA,f84c1e,232d4b,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856582.json,2026-03-28T23:30Z,True,,
401856583,2026-03-28T21:00Z,Oklahoma,South Carolina,Neutral,L,68,94,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,4,1,23,23,,,False,6,NCAA Women's Basketball Championship - Regional 4 in Sacramento - Sweet 16,STATUS_FINAL,23,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '34-3', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '18-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '11-1', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-1', 'type': 'vsconf'}]",23,False,4,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '26-8', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '16-2', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '6-3', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '11-5', 'type': 'vsconf'}]",,,OU,SC,990000,73000a,ffffff,000000,SC,73000a,000000,OU,990000,ffffff,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856583.json,2026-03-28T21:00Z,True,,
401856583,2026-03-28T21:00Z,South Carolina,Oklahoma,Neutral,W,94,68,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,1,4,23,23,,,False,6,NCAA Women's Basketball Championship - Regional 4 in Sacramento - Sweet 16,STATUS_FINAL,23,True,1,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '34-3', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '18-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '11-1', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '15-1', 'type': 'vsconf'}]",23,False,4,"[{'abbreviation': 'Game', 'name': 'overall', 'summary': '26-8', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '16-2', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '6-3', 'type': 'road'}
 {'abbreviation': None, 'name': 'vs. Conf.', 'summary': '11-5', 'type': 'vsconf'}]",,,SC,OU,73000a,990000,000000,ffffff,SC,73000a,000000,OU,990000,ffffff,https://raw.githubusercontent.com/sportsdataverse/wehoop-wbb-raw/main/wbb/json/final/401856583.json,2026-03-28T21:00Z,True,,
